# material=polyimide density=-1
# Photon Energy [eV]  Attenuation Length [um]
3.652900e+03 1.056091e+02
3.682300e+03 1.081953e+02
3.711900e+03 1.108389e+02
3.741700e+03 1.135517e+02
3.771800e+03 1.163351e+02
3.802100e+03 1.191544e+02
3.832700e+03 1.220858e+02
3.863500e+03 1.251087e+02
3.894500e+03 1.281936e+02
3.925800e+03 1.313273e+02
3.957400e+03 1.345562e+02
3.989200e+03 1.378797e+02
4.021300e+03 1.412698e+02
4.053600e+03 1.447898e+02
4.086200e+03 1.483214e+02
4.119000e+03 1.519907e+02
4.152100e+03 1.557167e+02
4.185500e+03 1.595841e+02
4.219200e+03 1.635229e+02
4.253100e+03 1.675746e+02
4.287300e+03 1.717230e+02
4.321700e+03 1.759576e+02
4.356500e+03 1.803168e+02
4.391500e+03 1.847005e+02
4.426800e+03 1.893348e+02
4.462400e+03 1.940378e+02
4.498200e+03 1.988673e+02
4.534400e+03 2.039067e+02
4.570900e+03 2.088714e+02
4.607600e+03 2.141321e+02
4.644600e+03 2.194028e+02
4.682000e+03 2.247717e+02
4.719600e+03 2.303490e+02
4.757600e+03 2.360866e+02
4.795800e+03 2.420156e+02
4.834300e+03 2.480350e+02
4.873200e+03 2.541600e+02
4.912400e+03 2.605020e+02
4.951900e+03 2.670196e+02
4.991700e+03 2.736289e+02
5.031800e+03 2.805863e+02
5.072200e+03 2.874216e+02
5.113000e+03 2.945696e+02
5.154100e+03 3.016721e+02
5.195600e+03 3.094123e+02
5.237300e+03 3.172505e+02
5.279400e+03 3.251255e+02
5.321900e+03 3.332699e+02
5.364600e+03 3.416302e+02
5.407800e+03 3.501259e+02
5.451200e+03 3.591772e+02
5.495000e+03 3.680871e+02
5.539200e+03 3.771545e+02
5.583800e+03 3.869814e+02
5.628600e+03 3.961271e+02
5.673900e+03 4.059560e+02
5.719500e+03 4.161283e+02
5.765500e+03 4.265013e+02
5.811800e+03 4.372485e+02
5.858500e+03 4.482365e+02
5.905600e+03 4.596737e+02
5.953100e+03 4.711344e+02
6.001000e+03 4.827902e+02
6.049200e+03 4.949558e+02
6.097800e+03 5.075688e+02
6.146800e+03 5.201969e+02
6.196200e+03 5.332507e+02
6.246100e+03 5.465377e+02
6.296300e+03 5.611463e+02
6.346900e+03 5.744107e+02
6.397900e+03 5.888656e+02
6.449300e+03 6.036141e+02
6.501200e+03 6.195522e+02
6.553400e+03 6.361447e+02
6.606100e+03 6.504735e+02
6.659200e+03 6.667133e+02
6.712700e+03 6.835439e+02
6.766700e+03 6.988106e+02
6.821100e+03 7.184570e+02
6.875900e+03 7.362640e+02
6.931200e+03 7.547039e+02
6.986900e+03 7.736686e+02
7.043100e+03 7.936608e+02
7.099700e+03 8.131460e+02
7.156800e+03 8.332804e+02
7.214300e+03 8.548087e+02
7.272300e+03 8.766138e+02
7.330700e+03 8.988463e+02
7.389700e+03 9.193301e+02
7.449100e+03 9.447308e+02
7.509000e+03 9.675933e+02
7.569300e+03 9.919568e+02
7.630200e+03 1.017586e+03
7.691500e+03 1.043346e+03
7.753300e+03 1.070031e+03
7.815600e+03 1.096716e+03
7.878500e+03 1.124124e+03
7.941800e+03 1.152682e+03
8.005600e+03 1.181012e+03
8.070000e+03 1.209992e+03
8.134900e+03 1.241986e+03
8.200300e+03 1.272420e+03
8.266200e+03 1.304042e+03
8.332600e+03 1.337528e+03
8.399600e+03 1.370828e+03
