# material=Tl density=11.85
# Photon Energy [eV]  Attenuation Length [um]
2.141850e+04 1.249228e+01
2.176500e+04 1.302833e+01
2.211700e+04 1.358834e+01
2.247470e+04 1.417346e+01
2.283820e+04 1.478485e+01
2.320760e+04 1.542368e+01
2.358300e+04 1.609121e+01
2.396440e+04 1.678862e+01
2.435200e+04 1.751739e+01
2.474590e+04 1.827892e+01
2.514620e+04 1.907465e+01
2.555290e+04 1.990610e+01
2.596620e+04 2.077490e+01
2.638610e+04 2.168274e+01
2.681290e+04 2.263140e+01
2.724660e+04 2.362276e+01
2.768730e+04 2.465868e+01
2.813510e+04 2.574116e+01
2.859020e+04 2.687243e+01
2.905260e+04 2.805449e+01
2.952250e+04 2.928974e+01
3.000000e+04 3.058060e+01
