# material=Ta density=16.65
# Photon Energy [eV]  Attenuation Length [um]
2.381240e+04 1.568499e+01
2.408670e+04 1.617840e+01
2.436410e+04 1.668775e+01
2.464480e+04 1.721364e+01
2.492870e+04 1.775649e+01
2.521590e+04 1.831692e+01
2.550640e+04 1.889550e+01
2.580020e+04 1.949269e+01
2.609740e+04 2.010927e+01
2.639810e+04 2.074584e+01
2.670220e+04 2.140288e+01
2.700980e+04 2.208125e+01
2.732090e+04 2.278155e+01
2.763570e+04 2.350454e+01
2.795400e+04 2.425084e+01
2.827610e+04 2.502137e+01
2.860180e+04 2.581680e+01
2.893130e+04 2.663799e+01
2.926460e+04 2.748578e+01
2.960170e+04 2.836089e+01
2.994270e+04 2.926439e+01
3.000000e+04 2.941803e+01
